scenario,seed,method,lambda_gain,final_rmse_all,final_rmse_inlier,final_fitness,final_rotation_error_deg,final_translation_error,final_alignment_error,iae_alignment,ise_alignment,mean_alignment_error,tv_translation_update,tv_rotation_update,mean_selected_correspondences,mean_predicted_weight
added_outliers,1,mlp_weighted_icp,1.0,0.015392415054144196,0.015392415054144196,1.0,0.06760974112490203,0.0007189528160231741,0.01678746528141639,2.257260038589415,0.4578781016865098,0.07281483995449725,0.05323725171330184,2.827154923380825,1800.0,0.8120885137401879
added_outliers,1,unweighted_icp,0.01,0.08112946470053828,0.03573625284382795,0.3161111111111111,11.427893162301192,0.14767081633837434,0.34307921266192454,10.76627100264967,3.7393132862924263,0.34729906460160226,0.00021371997576346421,0.010006622018758082,1800.0,0.4504830561760729
added_outliers,1,unweighted_icp,0.03,0.07739277027810636,0.03462792515761829,0.3327777777777778,11.256137865399124,0.13622726715102282,0.3261814160831204,10.503827963120795,3.5608223177687193,0.3388331601006708,0.0007387731501625867,0.03576169050666744,1800.0,0.46346203547112563
added_outliers,1,unweighted_icp,0.05,0.07382337731271117,0.03413643541037756,0.35,11.040824801990643,0.12489444551600665,0.30912607084862426,10.241049686939997,3.388148900232787,0.33035644151419347,0.0012937655184902409,0.0659047130563678,1800.0,0.47597100577434037
added_outliers,1,unweighted_icp,0.1,0.06515959343207148,0.03482475271954416,0.41388888888888886,10.21688983372108,0.09693754740798789,0.2642660391772702,9.569005578723068,2.974563372029074,0.30867759931364736,0.0027860590285637052,0.16160854937391717,1800.0,0.5063390890685765
added_outliers,1,unweighted_icp,0.2,0.04638487939923236,0.03446011369564539,0.7161111111111111,7.323525221112383,0.048325023445677434,0.16794515505603363,8.11990360275784,2.222448141321426,0.261932374282511,0.006327763275262315,0.3935330803317155,1800.0,0.573648492990119
added_outliers,1,unweighted_icp,0.4,0.01722371122451829,0.01722371122451829,1.0,0.9378186415549563,0.004819147009982786,0.031421044650050634,5.521210480655714,1.2921238824618848,0.17810356389211981,0.0145590271854687,0.9496907250064943,1800.0,0.6920683641016443
added_outliers,1,unweighted_icp,0.75,0.015392327919944217,0.015392327919944217,1.0,0.0655368052219781,0.0007107359326030201,0.01675843190476702,3.2970627970219444,0.7292830597872376,0.10635686442006272,0.02950259392453554,2.219214833368791,1800.0,0.7733219041026631
added_outliers,1,unweighted_icp,1.0,0.015392327919939672,0.015392327919939672,1.0,0.06553737372305585,0.0007107328841161186,0.016758434541286348,2.623624452453242,0.5601771477881161,0.08463304685333038,0.038448806253558857,2.945750028989699,1800.0,0.7977723767739264
added_outliers,2,distance_weighted_icp,0.01,0.08662153996537562,0.035209465735822634,0.26555555555555554,11.484537583692386,0.14845613684158884,0.34992305264388834,10.953089738190494,3.870134657259483,0.3533254754254998,0.00017661513356738993,0.010699130665961237,1800.0,0.4606653372144192
added_outliers,2,distance_weighted_icp,0.03,0.0834243631028436,0.03523042165549527,0.275,11.338035193481563,0.13923670947457994,0.3360414245122392,10.740376293326058,3.7223251008655285,0.34646375139761476,0.0005805430125850816,0.03659193320699383,1800.0,0.46777941738743384
added_outliers,2,distance_weighted_icp,0.05,0.07998146465379889,0.03543421567601425,0.2972222222222222,11.095839054662264,0.12945923870101353,0.32039909390143506,10.515615787799138,3.570616264306748,0.33921341250964965,0.0010743967293022024,0.06521095616937486,1800.0,0.4786535452897105
added_outliers,2,distance_weighted_icp,0.1,0.07068567521969671,0.03480037346147436,0.345,10.176661783156936,0.1039944358239248,0.2764467288751909,9.887480750316639,3.1715356807008703,0.31895099194569804,0.0023595135920244335,0.144565478054687,1800.0,0.5111261282052806
added_outliers,2,distance_weighted_icp,0.2,0.047386698334222606,0.0341742514821719,0.6944444444444444,6.967945219496077,0.05483108635370118,0.17189723688288455,8.436173433832916,2.393300001657293,0.272134626897836,0.005421941206160564,0.42282686934119895,1800.0,0.5845535989272925
